RowNum,ItemNum,Condition,Prime,PrimeSoundFile,Pword,Target,TargetSoundFile,Tword,Ptype,Ttype
P1,P1,Practice,推动者,w_推动者_U_2.wav,真词,佼佼者,w_佼佼者_U_2.wav,真词,Practice,Practice
P2,P2,Practice,书法家,w_书法家_U_3.wav,真词,统治,w_统治_U_2.wav,真词,Practice,Practice
P3,P3,Practice,创作,w_创作_U_2.wav,真词,军事家,w_军事家_U_2.wav,真词,Practice,Practice
P4,P4,Practice,学习,w_学习_U_2.wav,真词,冰箱贴,w_冰箱贴_U.wav,真词,Practice,Practice
P5,P5,Practice,爽肤水,w_爽肤水_U_3.wav,真词,抹布,w_抹布_U_2.wav,真词,Practice,Practice
P6,P6,Practice,差别化,w_差别化_U.wav,真词,及侧空,nw_及侧空_U_3.wav,假词,Practice,Practice
P7,P7,Practice,规划家,w_规划家_U.wav,真词,梁锦,nw_梁锦_U_3.wav,假词,Practice,Practice
P8,P8,Practice,目击人,w_目击人_U.wav,真词,学贝,nw_学贝_U_3.wav,假词,Practice,Practice
P9,P9,Practice,译者,w_译者_U_3.wav,真词,电可垂,nw_电可垂_U_2.wav,假词,Practice,Practice
P10,P10,Practice,探员,w_探员_U_3.wav,真词,苦耐,nw_苦耐_U_3.wav,假词,Practice,Practice
P11,P11,Practice,地青,nw_地青_U_3.wav,假词,观光者,w_观光者_U.wav,真词,Practice,Practice
P12,P12,Practice,传至春,nw_传至春_U_3.wav,假词,报幕员,w_报幕员_U.wav,真词,Practice,Practice
P13,P13,Practice,冲架,nw_冲架_U.wav,假词,高端化,w_高端化_U.wav,真词,Practice,Practice
P14,P14,Practice,尾包容,nw_尾包容_U.wav,假词,录取率,w_录取率_U_3.wav,真词,Practice,Practice
P15,P15,Practice,墙爬,nw_墙爬_U_2.wav,假词,星相家,w_星相家_U.wav,真词,Practice,Practice
P16,P16,Practice,勒踝,nw_勒踝_U_2.wav,假词,见持,nw_见持_U_2.wav,假词,Practice,Practice
P17,P17,Practice,民心度,nw_民心度_U_3.wav,假词,骨唐刺,nw_骨唐刺_U_2.wav,假词,Practice,Practice
P18,P18,Practice,保棍,nw_保棍_U_3.wav,假词,杰灿鲁,nw_杰灿鲁_U_2.wav,假词,Practice,Practice
P19,P19,Practice,升学家,nw_升学家_U_2.wav,假词,丑八,nw_丑八_U_3.wav,假词,Practice,Practice
P20,P20,Practice,拔群,nw_拔群_U.wav,假词,拼图性,nw_拼图性_U.wav,假词,Practice,Practice